Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6960,5000-6914,Target_luster,Target_L,Target_a,Target_b
P05000B01C23A51,54.19,0,1.34,6.97,0,0,0,9.46,15.5,1.17,0,0,0,0,0,27.3,40.2,-7.3,-10.3
P05000B01C22R18,43.78,33.89,9.45,7.37,0,0,0,0,0,0,0,0,0,0,0,60.1,44.1,5.7,8.9
P05000B01C24L73,78.61,5.88,2.63,2.48,0,0,0,0,0,0,0,0,0,0,0,29.8,57.7,6.1,6.7
P05000B01C24O03,29.36,22.22,37.28,1.51,0,0,0,0,0,0,0,0,0,0,0,41.3,42.3,20,13.5
P05000B01C24L72,84.63,3.79,0.7,0.14,0,0,0,0,0,0,0,0,0,0,0,31,76.8,7.8,14.6
P05000B01C23F51,85.18,0,0,0.05,0,0,0.21,0,0,0.64,0.9,0,0,0,0,7.4,77.1,15.7,6.2
P05000B01C23F52,11.28,0,0,0.18,0,0,60.39,0,0,0,14.55,0,0,0,0,5.4,54.9,37.8,42.9
P05000B01C23F53,48.55,0,0,0,0,0.04,13.44,0,0,0,0.52,24.71,0,0,0,8.3,77.7,8.3,58.7
P05000B01C23F54,69.92,0,0,0,0,0,0,0,12.41,0.25,0,5.07,0,0,0,8,58.3,-35.3,-11.1
P05000B01C23F55,53.28,0,3.28,1.14,0,0,0,29.21,0,0,0,0,0,0,0,9,43.9,7.9,-17.6
P05000B01C23F56,78.38,5.03,1.26,2.83,0,0,0,0,0,0,0,0,0,0,0,6.3,59.1,1.4,5
P05000B01C23W96,40.92,0,0,0,0,0,53.05,0,0,0,0,0,0,0,0,73.2,82.4,13.9,73
P05000B01C21P32,77.61,0.7,0,0.02,0,0,0,0,14.58,0.2,0,0,0,0,0,60.4,60,-25.5,-27
P05000B01C23E19,72.84,8.82,1.52,10.66,0,0,0,0,0,0,0,0,0,0,0,77.3,47.7,-0.3,1.7
P05000B01C23Q30,65.32,5.31,0,0,0,0,0,1.45,13.99,0,0,0,0,0,0,7.8,53.5,-23.6,-17.2
P05000B01C23C94,54.98,15.32,10.28,9.19,0,0,0,0,0,0,0,0,0,0,0,37.6,44.1,3.5,4.4
P05000B01C24B51,60.88,0.28,0.22,29.52,0,0,0,0,0,0,0,0,0,0,0,55.8,36.1,-1.2,-1.7
P05000B01C25D43,48.48,9.53,0,0,0,0,0,0,18.06,12.31,1.65,0,0,0,0,27.8,40.6,-6.5,-9.9
P05000B25C22E62,59.73,0,3.47,0,0,5.56,28.24,0,0,0,0,0,0,0,0,84.8,61.2,-10.1,28
P05000B25C21R98,0,7.14,0.37,1.12,85.25,0,0,0,0,0,0,0,0,0,0,39.3,67.1,2,9.7
GMPC05000171727,62.52,0,3.41,6.52,0,6.83,0,3.41,5.9,0,0,0,0,0,0,67.1,43.4,-7.6,-5.2
P05000B25C20O52,74.34,3.77,0.84,12.57,0,0,0,0,0,0,0,0,0,0,0,60.5,45.8,-0.6,-0.3
P05000B25C20O51,82.8,2.37,0.51,5.59,0,0,0,0,0,0,0,0,0,0,0,59.1,55.4,-0.3,0.4
GMPC05000152092,92.05,1.07,0,0.99,0,0,0,0,0,0,0,0,0,0,0,70.1,72.2,-0.8,2.2
GMPC05000161233,94.39,0.03,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,58.7,88.7,-1.2,3.2
GMPC05000142042,8.68,22.88,22.88,35.23,0,0,0,0,0,0,0,0,0,0,0,29.2,28.1,1.4,1.5
P05000E28C25J49,87.71,0.76,0.61,3.97,0,0,0,0.38,0,0,0,0,0,0,0,71.9,57.7,-0.4,-0.5
P05000E28C25C26,48.01,0,0,41.05,0,0,0,0,0,1.08,0,0,0,0,0,37.9,31.8,-0.9,-1.7
P05000E28C25C27,54.04,6.5,0,0,0,0,0,14.23,19.86,0,0,0,0,0,0,78.9,44.6,-9.6,-20.7
P05000E28C25C49,89.97,2.11,0.03,0.86,0,0,0,0,0,0,0,0,0,0,0,43.1,73.3,-0.1,6.3
P05000E28C25K23,88.95,1.19,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,48.1,86.5,2.3,11.7
P05000E28C25Q86,93.73,0.54,0,0,0,0.02,0,0,0,0,0,0,0,0,0,76.7,91,-0.4,8.9
P05000E28C25S32,0,13.82,0,8.62,62.83,0,0,0,9.99,0,0,0,0,0,0,77.3,43.7,-8,-3.1
