iter	Passed	Remaining
516	7211	8551
517	7229	8540
518	7243	8527
519	7258	8514
520	7270	8498
521	7284	8485
522	7297	8469
523	7311	8455
524	7325	8441
525	7339	8427
526	7351	8411
527	7365	8398
528	7378	8382
529	7392	8369
530	7405	8353
531	7419	8340
532	7432	8324
533	7446	8310
534	7457	8293
535	7486	8296
536	7498	8280
537	7512	8266
538	7525	8251
539	7539	8237
540	7551	8221
541	7567	8210
542	7582	8196
543	7597	8184
544	7610	8169
545	7625	8156
546	7638	8141
547	7654	8129
548	7667	8114
549	7682	8101
550	7695	8086
551	7708	8071
552	7721	8056
553	7734	8041
554	7748	8027
555	7760	8011
556	7774	7998
557	7787	7983
558	7815	7983
559	7841	7981
560	7860	7972
561	7874	7958
562	7908	7965
563	7924	7952
564	7943	7943
565	7959	7931
566	7979	7922
567	7995	7910
568	8017	7905
569	8033	7892
570	8051	7882
571	8067	7869
572	8085	7859
573	8102	7848
574	8120	7837
575	8135	7824
576	8158	7818
577	8174	7806
578	8192	7796
579	8208	7784
580	8227	7774
581	8243	7762
582	8274	7763
583	8290	7750
584	8309	7741
585	8326	7729
586	8343	7717
587	8357	7703
588	8375	7692
589	8391	7680
590	8409	7669
591	8434	7665
592	8461	7662
593	8474	7647
594	8488	7632
595	8501	7616
596	8514	7601
597	8526	7585
598	8540	7570
599	8551	7554
600	8568	7542
601	8582	7527
602	8597	7513
603	8608	7497
604	8621	7481
605	8633	7465
606	8645	7449
607	8659	7434
608	8671	7418
609	8685	7403
610	8697	7387
611	8711	7373
612	8723	7357
613	8749	7353
614	8762	7337
615	8777	7323
616	8789	7308
617	8818	7305
618	8834	7293
619	8850	7280
620	8863	7264
621	8877	7250
622	8889	7234
623	8903	7219
624	8915	7203
625	8928	7188
626	8940	7172
627	8955	7158
628	8967	7142
629	8981	7127
630	8993	7111
631	9007	7097
632	9019	7081
633	9032	7066
634	9044	7050
635	9058	7035
636	9069	7019
637	9082	7004
638	9094	6987
639	9107	6973
640	9119	6956
641	9132	6942
642	9144	6926
643	9158	6911
644	9171	6896
645	9185	6882
646	9197	6866
647	9211	6851
648	9222	6835
649	9237	6821
650	9248	6804
651	9263	6791
652	9275	6775
653	9290	6761
654	9302	6745
655	9315	6731
656	9328	6715
657	9341	6701
658	9353	6684
659	9366	6670
660	9378	6654
661	9392	6639
662	9404	6624
663	9417	6609
664	9429	6593
665	9442	6578
666	9454	6562
667	9467	6547
668	9479	6532
669	9498	6521
670	9511	6506
671	9530	6495
672	9544	6481
673	9563	6470
674	9576	6455
675	9593	6443
676	9606	6428
677	9620	6413
678	9632	6397
679	9645	6383
680	9657	6367
681	9671	6353
682	9683	6337
683	9696	6322
684	9708	6306
685	9721	6292
686	9733	6276
687	9747	6262
688	9759	6246
689	9774	6232
690	9786	6217
691	9801	6203
692	9813	6188
693	9827	6173
694	9839	6158
695	9852	6143
696	9863	6127
697	9877	6113
698	9889	6097
699	9909	6087
700	9921	6071
701	9934	6057
702	9945	6041
703	9959	6026
704	9971	6011
705	9986	5997
706	9998	5981
707	10012	5968
708	10024	5952
709	10054	5947
710	10067	5932
711	10080	5918
712	10092	5902
713	10106	5888
714	10119	5873
715	10132	5858
716	10144	5843
717	10159	5829
718	10171	5814
719	10184	5799
720	10196	5783
721	10208	5768
722	10221	5753
723	10234	5739
724	10246	5724
725	10258	5708
726	10271	5693
727	10283	5678
728	10297	5664
729	10308	5648
730	10321	5633
731	10334	5619
732	10349	5605
733	10361	5589
734	10374	5575
735	10386	5560
736	10400	5546
737	10413	5531
738	10426	5516
739	10438	5501
740	10452	5486
741	10464	5471
742	10478	5457
743	10489	5442
744	10503	5427
745	10515	5412
746	10541	5404
747	10563	5394
748	10577	5380
749	10590	5365
750	10603	5351
751	10615	5336
752	10629	5321
753	10640	5306
754	10653	5291
755	10666	5276
756	10679	5262
757	10690	5246
758	10703	5231
759	10714	5216
760	10728	5201
761	10739	5186
762	10754	5172
763	10766	5157
764	10780	5143
765	10792	5128
766	10805	5113
767	10816	5098
768	10829	5083
769	10841	5068
770	10854	5054
771	10866	5039
772	10879	5024
773	10892	5009
774	10905	4995
775	10918	4980
776	10932	4966
777	10943	4951
778	10957	4937
779	10969	4922
780	10983	4907
781	10994	4892
782	11009	4878
783	11020	4863
784	11034	4849
785	11047	4835
786	11066	4823
787	11078	4808
788	11092	4793
789	11103	4778
790	11117	4764
791	11129	4749
792	11142	4735
793	11155	4720
794	11169	4706
795	11182	4691
796	11196	4678
797	11209	4663
798	11222	4649
799	11234	4634
800	11248	4620
801	11260	4605
802	11273	4590
803	11284	4575
804	11298	4561
805	11311	4546
806	11324	4532
807	11336	4517
808	11349	4503
809	11361	4488
810	11374	4473
811	11385	4458
812	11413	4450
813	11427	4436
814	11462	4430
815	11478	4417
816	11498	4405
817	11514	4391
818	11540	4382
819	11558	4369
820	11573	4355
821	11586	4341
822	11599	4327
823	11612	4312
824	11627	4298
825	11640	4284
826	11653	4269
827	11665	4254
828	11679	4240
829	11692	4226
830	11706	4212
831	11718	4197
832	11732	4183
833	11745	4168
834	11760	4154
835	11772	4139
836	11786	4125
837	11798	4111
838	11812	4096
839	11824	4082
840	11837	4067
841	11850	4053
842	11863	4039
843	11875	4024
844	11888	4009
845	11901	3995
846	11914	3980
847	11929	3967
848	11942	3952
849	11955	3938
850	11968	3923
851	11982	3909
852	11995	3895
853	12010	3881
854	12023	3867
855	12037	3853
856	12050	3838
857	12065	3824
858	12077	3810
859	12091	3796
860	12104	3781
861	12118	3767
862	12130	3753
863	12145	3739
864	12157	3724
865	12171	3710
866	12184	3696
867	12198	3682
868	12211	3667
869	12225	3653
870	12239	3639
871	12254	3625
872	12266	3611
873	12280	3597
874	12293	3582
875	12308	3568
876	12321	3554
877	12336	3540
878	12348	3526
879	12363	3512
880	12376	3497
881	12390	3484
882	12404	3469
883	12419	3456
884	12431	3441
885	12446	3427
886	12459	3413
887	12474	3399
888	12488	3385
889	12503	3371
890	12516	3357
891	12530	3343
892	12544	3329
893	12560	3315
894	12573	3301
895	12588	3287
896	12600	3273
897	12614	3259
898	12626	3244
899	12640	3230
900	12652	3215
901	12667	3201
902	12679	3187
903	12692	3173
904	12704	3158
905	12719	3144
906	12731	3130
907	12745	3116
908	12758	3101
909	12772	3087
910	12785	3073
911	12799	3059
912	12811	3045
913	12824	3030
914	12838	3016
915	12851	3002
916	12865	2988
917	12877	2973
918	12892	2960
919	12905	2945
920	12919	2931
921	12932	2917
922	12946	2903
923	12958	2889
924	12972	2875
925	12986	2861
926	12999	2846
927	13013	2832
928	13026	2818
929	13040	2804
930	13052	2789
931	13065	2775
932	13078	2761
933	13092	2747
934	13104	2733
935	13118	2718
936	13130	2704
937	13144	2690
938	13164	2677
939	13177	2663
940	13193	2649
941	13208	2636
942	13222	2622
943	13234	2607
944	13249	2593
945	13261	2579
946	13274	2565
947	13287	2550
948	13301	2536
949	13313	2522
950	13327	2508
951	13340	2494
952	13355	2480
953	13367	2466
954	13382	2452
955	13395	2438
956	13409	2424
957	13421	2409
958	13435	2395
959	13448	2381
960	13462	2367
961	13474	2353
962	13488	2339
963	13501	2324
964	13515	2310
965	13528	2296
966	13544	2283
967	13556	2268
968	13570	2254
969	13582	2240
970	13596	2226
971	13607	2211
972	13621	2197
973	13633	2183
974	13647	2169
975	13660	2155
976	13671	2141
977	13685	2127
978	13698	2112
979	13712	2098
980	13724	2084
981	13738	2070
982	13750	2056
983	13764	2042
984	13776	2027
985	13789	2013
986	13801	1999
987	13813	1985
988	13826	1971
989	13837	1956
990	13850	1942
991	13862	1928
992	13876	1914
993	13888	1900
994	13902	1886
995	13914	1872
996	13929	1858
997	13941	1843
998	13954	1829
999	13967	1815
1000	13981	1801
1001	13994	1787
1002	14008	1773
1003	14019	1759
1004	14033	1745
1005	14046	1731
1006	14059	1717
1007	14071	1703
1008	14085	1689
1009	14097	1674
1010	14112	1661
1011	14124	1646
1012	14137	1632
1013	14149	1618
1014	14162	1604
1015	14174	1590
1016	14187	1576
1017	14199	1562
1018	14214	1548
1019	14228	1534
1020	14243	1520
1021	14255	1506
1022	14269	1492
1023	14281	1478
1024	14295	1464
1025	14306	1450
1026	14320	1436
1027	14333	1422
1028	14347	1408
1029	14359	1394
1030	14373	1380
1031	14385	1366
1032	14399	1352
1033	14412	1338
1034	14427	1324
1035	14439	1310
1036	14452	1296
1037	14465	1282
1038	14479	1268
1039	14490	1254
1040	14504	1240
1041	14516	1225
1042	14533	1212
1043	14546	1198
1044	14561	1184
1045	14572	1170
1046	14585	1156
1047	14597	1142
1048	14627	1129
1049	14641	1115
1050	14655	1101
1051	14667	1087
1052	14681	1073
1053	14692	1059
1054	14705	1045
1055	14717	1031
1056	14731	1017
1057	14744	1003
1058	14766	989
1059	14778	975
1060	14792	961
1061	14804	947
1062	14819	934
1063	14831	919
1064	14845	906
1065	14857	891
1066	14871	878
1067	14883	864
1068	14896	850
1069	14908	836
1070	14923	822
1071	14935	808
1072	14948	794
1073	14960	780
1074	14974	766
1075	14986	752
1076	15001	738
1077	15013	724
1078	15027	710
1079	15040	696
1080	15055	682
1081	15066	668
1082	15080	654
1083	15092	640
1084	15105	626
1085	15117	612
1086	15131	598
1087	15143	584
1088	15157	570
1089	15170	556
1090	15182	542
1091	15196	528
1092	15207	514
1093	15221	500
1094	15234	486
1095	15247	473
1096	15260	459
1097	15274	445
1098	15286	431
1099	15314	417
1100	15328	403
1101	15342	389
1102	15355	375
1103	15369	361
1104	15381	348
1105	15394	334
1106	15407	320
1107	15421	306
1108	15433	292
1109	15447	278
1110	15459	264
1111	15472	250
1112	15485	236
1113	15498	222
1114	15510	208
1115	15527	194
1116	15543	180
1117	15557	166
1118	15568	153
1119	15581	139
1120	15593	125
1121	15607	111
1122	15620	97
1123	15634	83
1124	15647	69
1125	15660	55
1126	15673	41
1127	15686	27
1128	15699	13
1129	15712	0
