iter	RMSE
175	14078.12038
176	14073.34881
177	14048.90477
178	14009.65556
179	14006.34882
180	14002.7745
181	13956.50847
182	13864.48337
183	13821.04588
184	13798.80414
185	13765.15284
186	13696.43922
187	13694.76089
188	13691.42406
189	13687.9138
190	13683.1176
191	13676.95112
192	13652.34441
193	13649.24596
194	13625.00263
195	13590.69034
196	13564.64001
197	13542.68558
198	13534.77386
199	13525.12419
200	13522.56322
201	13472.26403
202	13436.76861
203	13417.12
204	13413.59939
205	13378.8616
206	13343.10649
207	13340.97958
208	13290.85803
209	13286.91948
210	13281.72091
211	13279.52134
212	13246.82288
213	13214.88274
214	13121.71384
215	13119.98375
216	13113.20391
217	13092.74991
218	13091.43187
219	13029.08138
220	13023.98466
221	12967.5857
222	12955.45743
223	12937.85836
224	12934.19134
225	12842.84025
226	12814.6673
227	12748.82941
228	12672.29587
229	12647.83536
230	12547.47345
231	12495.53271
232	12438.15579
233	12377.53397
234	12375.20153
235	12373.17887
236	12370.47202
237	12362.3903
238	12360.77482
239	12320.94193
240	12310.43359
241	12306.21455
242	12297.54521
243	12291.54207
244	12274.2522
245	12272.18155
246	12270.72613
247	12269.34331
248	12231.59426
249	12200.8095
250	12154.5751
251	12101.75292
252	12100.4386
253	12066.96326
254	12021.38851
255	12010.8812
256	12007.57105
257	12006.59174
258	12003.16398
259	11933.38888
260	11932.34929
261	11876.12829
262	11874.68923
263	11866.03779
264	11863.17805
265	11861.39937
266	11860.44113
267	11763.79236
268	11739.78864
269	11736.62588
270	11660.75049
271	11656.11122
272	11641.80911
273	11636.50516
274	11617.54413
275	11604.16601
276	11600.57129
277	11579.56603
278	11570.32933
279	11545.7964
280	11520.62785
281	11497.37116
282	11491.30407
283	11484.26267
284	11474.33715
285	11473.3833
286	11467.67713
287	11446.36394
288	11427.54974
289	11424.16066
290	11371.29079
291	11364.36309
292	11335.14732
293	11306.07671
294	11300.3672
295	11244.79665
296	11189.20496
297	11187.31303
298	11184.39802
299	11163.2122
300	11161.75395
301	11152.15288
302	11150.79715
303	11118.08431
304	11058.41174
305	11014.00826
306	10969.99786
307	10968.9374
308	10961.81542
309	10960.43706
310	10936.99373
311	10916.03507
312	10912.19914
313	10910.97882
314	10905.4067
315	10902.08885
316	10860.71066
317	10803.63979
318	10782.77272
319	10766.99444
320	10720.03298
321	10696.41996
322	10693.46816
323	10692.55194
324	10676.7823
325	10676.34258
326	10672.55631
327	10668.8321
328	10667.69349
329	10666.95363
330	10637.51492
331	10636.41577
332	10610.9669
333	10600.79481
334	10596.56482
335	10585.06368
336	10549.58723
337	10548.35908
338	10543.35848
339	10530.8012
340	10489.50233
341	10474.96901
342	10469.46791
343	10458.09951
344	10454.82888
345	10453.62315
346	10397.62886
347	10396.51557
348	10309.64454
349	10307.68793
350	10291.97321
351	10291.2562
352	10290.15626
353	10273.62727
354	10270.13817
355	10263.21103
356	10240.2288
357	10209.03813
358	10207.80678
359	10187.61321
360	10174.31756
361	10125.22786
362	10086.54953
363	10045.30846
364	10036.42801
365	10026.093
366	10000.3347
367	9988.898359
368	9980.467489
369	9944.111608
370	9866.877477
371	9828.870278
372	9802.019207
373	9772.430974
374	9765.234594
375	9742.335076
376	9740.721279
377	9713.157017
378	9635.15837
379	9606.623704
380	9581.61519
381	9555.659398
382	9536.737306
383	9534.836345
384	9521.196295
385	9496.419426
386	9477.470996
387	9473.61077
388	9452.018227
389	9450.891332
390	9434.814593
391	9434.223143
392	9432.601111
393	9413.449429
394	9392.118263
395	9348.873869
396	9347.887691
397	9321.853917
398	9315.330793
399	9298.190717
400	9272.079985
401	9238.017733
402	9221.722888
403	9220.680658
404	9207.292142
405	9197.442979
406	9190.100135
407	9178.040261
408	9168.250146
409	9144.821283
410	9143.821886
411	9142.795856
412	9125.810703
413	9096.357762
414	9075.167531
415	9074.91958
416	9071.457724
417	9051.424577
418	9047.506345
419	9044.686497
420	9042.304059
421	9040.260772
422	9030.650313
423	8996.631693
424	8993.399572
425	8985.644181
426	8945.78294
427	8943.839164
428	8924.621696
429	8870.569385
430	8858.444788
431	8841.275169
432	8825.659692
433	8807.292081
434	8787.183253
435	8775.480011
436	8745.139578
437	8743.782531
438	8742.964567
439	8738.835763
440	8715.314121
441	8705.322473
442	8704.752282
443	8691.031189
444	8677.864606
445	8676.18902
446	8671.274922
447	8607.713517
448	8585.42244
449	8574.797393
450	8569.144657
451	8556.485746
452	8529.707088
453	8528.419625
454	8526.672751
455	8524.303727
456	8509.63182
457	8467.232832
458	8454.810717
459	8453.770368
460	8422.689656
461	8392.270664
462	8353.542064
463	8352.399114
464	8334.929613
465	8323.849334
466	8312.657808
467	8296.738842
468	8291.771293
469	8278.18361
470	8274.245416
471	8247.095684
472	8223.033766
473	8211.511302
474	8208.451794
475	8193.044245
476	8183.578574
477	8178.33408
478	8172.83746
479	8171.31015
480	8154.397042
481	8142.483707
482	8125.098865
483	8120.581647
484	8120.182436
485	8119.746117
486	8104.983555
487	8086.592146
488	8076.949668
489	8071.855356
490	8068.430695
491	8035.350346
492	8026.925243
493	8026.082781
494	8014.208113
495	8004.273014
496	8003.586721
497	7977.358229
498	7977.046325
499	7960.462865
500	7930.17324
501	7884.713244
502	7882.90548
503	7879.037502
504	7870.516919
505	7862.27638
506	7838.426719
507	7812.906151
508	7780.308627
509	7763.733092
510	7758.036408
511	7731.480043
512	7720.658603
513	7711.448361
514	7704.774987
515	7677.009203
516	7665.735123
517	7651.585082
518	7649.081884
519	7645.6175
520	7632.126324
521	7623.93674
522	7608.52829
523	7593.244053
524	7576.795287
525	7548.80761
526	7547.714746
527	7531.020089
528	7519.18669
529	7477.291289
530	7458.697841
531	7456.571855
532	7454.831506
533	7443.520983
534	7420.340375
535	7395.714031
536	7394.473122
537	7386.20554
538	7381.055103
539	7371.481642
540	7318.777346
541	7313.099013
542	7297.468881
543	7269.657747
544	7261.102059
545	7250.144166
546	7224.909921
547	7221.926115
548	7217.712126
549	7189.514983
550	7187.987163
551	7184.481717
552	7181.774661
553	7171.112793
554	7150.118975
555	7147.64524
556	7144.559671
557	7140.91068
558	7092.145305
559	7085.278093
560	7070.640296
561	7062.281455
562	7057.245237
563	7056.00059
564	7013.522413
565	7008.450301
566	7003.143757
567	6999.511479
568	6997.623245
569	6986.416546
570	6968.870966
571	6958.792735
572	6941.57268
573	6937.713435
574	6931.298483
575	6908.130497
576	6896.631293
577	6880.773844
578	6874.804408
579	6868.405323
580	6843.752935
581	6821.201077
582	6814.932628
583	6814.0337
584	6806.428973
585	6806.337492
586	6780.309003
587	6760.279219
588	6753.129688
589	6752.246778
590	6724.896651
591	6715.040473
592	6702.099016
593	6692.468593
594	6688.616425
595	6685.685631
596	6674.12925
597	6669.878837
598	6653.43202
599	6648.610628
600	6643.228103
601	6641.463242
602	6628.656181
603	6626.760387
604	6625.265088
605	6620.640453
606	6606.758274
607	6593.793447
608	6588.495402
609	6578.153572
610	6553.592053
611	6551.865738
612	6549.993417
613	6539.342194
614	6529.873941
615	6517.803407
616	6512.594072
617	6486.481701
618	6484.111612
619	6448.848766
620	6442.085846
621	6438.685865
622	6436.144886
623	6425.44304
624	6424.718371
625	6420.471544
626	6407.325568
627	6402.11103
628	6401.857954
629	6396.13858
630	6392.2909
631	6383.990641
632	6363.533749
633	6340.392299
634	6329.644311
635	6315.22658
636	6310.906201
637	6304.350403
638	6282.685714
639	6261.691069
640	6256.324931
641	6252.098306
642	6249.955714
643	6243.949343
644	6241.234934
645	6240.759473
646	6232.864702
647	6231.81612
648	6213.015936
649	6210.620373
650	6200.611706
651	6199.679409
652	6194.34146
653	6193.101073
654	6191.444036
655	6168.902097
656	6162.061037
657	6149.723432
658	6146.833595
659	6125.019859
660	6123.208796
661	6120.70814
662	6116.911445
663	6089.593006
664	6087.243349
665	6061.33772
666	6058.160605
667	6049.961209
668	6044.078373
669	6042.703823
670	6038.990118
671	6015.584357
672	6011.503456
673	6009.305032
674	6008.575031
675	6003.293873
676	6001.364377
677	5998.989085
678	5998.254341
679	5992.61452
680	5970.975414
681	5960.124032
682	5958.435826
683	5950.946014
684	5946.451209
685	5930.634117
686	5925.965733
687	5907.763797
688	5906.916927
689	5906.266015
690	5884.111603
691	5872.546733
692	5869.539195
693	5867.528811
694	5856.662389
695	5848.07531
696	5845.893003
697	5845.424659
698	5825.302076
699	5822.564874
700	5814.722671
701	5806.046775
702	5791.447512
703	5789.01686
704	5768.086429
705	5767.336293
706	5759.56424
707	5751.039015
708	5750.466311
709	5735.734899
710	5732.326475
711	5729.389368
712	5712.251999
713	5707.583491
714	5702.608384
715	5701.21275
716	5689.923936
717	5689.557843
718	5683.872802
719	5670.385794
720	5668.295064
721	5653.684309
722	5651.703395
723	5649.974634
724	5640.336878
725	5635.889642
726	5634.634138
727	5631.909357
728	5630.914033
729	5616.780247
730	5610.806909
731	5609.799961
732	5608.812894
733	5608.719579
734	5600.768387
735	5599.962281
736	5599.289616
737	5597.78555
738	5594.16172
739	5586.812814
740	5568.453345
741	5556.899784
742	5551.255422
743	5548.993729
744	5541.169132
745	5528.702627
746	5523.102474
747	5502.044616
748	5498.755979
749	5494.731953
750	5479.659204
751	5470.091377
752	5469.417949
753	5460.814888
754	5459.018245
755	5454.42912
756	5449.324348
757	5447.059481
758	5442.098578
759	5432.63608
760	5404.395499
761	5402.824303
762	5399.41244
763	5395.277467
764	5388.731968
765	5388.042958
766	5377.215322
767	5364.955916
768	5342.134281
769	5341.527508
770	5337.109945
771	5336.690304
772	5335.486044
773	5334.519517
774	5333.815032
775	5331.376538
776	5321.151664
777	5313.670253
778	5313.150323
779	5312.902965
780	5298.373768
781	5297.040588
782	5296.51522
783	5292.363251
784	5290.85665
785	5290.335195
786	5268.217127
787	5262.060934
788	5257.027006
789	5235.909486
790	5232.73805
791	5232.253269
792	5224.38927
793	5202.703653
794	5202.430777
795	5200.48728
796	5199.669589
797	5193.651128
798	5192.994686
799	5189.606145
800	5185.439336
801	5181.119869
802	5176.905258
803	5176.457963
804	5172.959662
805	5167.386784
806	5166.743205
807	5164.667471
808	5163.906451
809	5151.914642
810	5137.512697
811	5137.427801
812	5134.084108
813	5132.059934
814	5127.233653
815	5115.124219
816	5111.611012
817	5109.809055
818	5105.385196
819	5087.097845
820	5078.795732
821	5076.193041
822	5054.205
823	5050.892879
824	5041.615769
825	5038.476523
826	5031.559555
827	4998.715464
828	4998.268441
829	4981.617522
830	4969.546609
831	4969.284446
832	4966.310053
833	4965.939726
834	4959.997675
835	4947.419522
836	4944.121077
837	4919.100748
838	4913.262417
839	4903.885441
840	4897.547278
841	4894.940246
842	4883.879089
843	4867.185572
844	4857.217827
845	4851.24325
846	4845.756907
847	4838.085687
848	4837.65393
849	4830.41654
850	4829.360352
851	4828.201489
852	4820.008243
853	4807.613426
854	4806.133481
855	4797.90703
856	4796.179585
857	4795.893225
858	4768.08188
859	4763.256501
860	4759.275552
861	4755.502579
862	4744.289798
863	4739.920013
864	4723.834431
865	4722.921487
866	4718.760045
867	4701.260423
868	4700.010174
869	4683.189887
870	4677.400396
871	4674.856801
872	4673.790925
873	4671.71784
874	4670.603929
875	4668.103003
876	4664.066572
877	4655.560885
878	4647.532468
879	4636.004061
880	4635.842147
881	4622.79523
882	4622.636752
883	4615.887326
884	4604.030729
885	4598.102405
886	4597.916167
887	4591.482399
888	4587.276375
889	4587.13931
890	4579.787321
891	4577.789563
892	4577.687988
893	4572.226615
894	4571.890389
895	4569.469417
896	4569.015091
897	4561.967502
898	4556.950063
899	4549.774743
900	4545.290352
901	4543.415924
902	4539.294564
903	4521.479
904	4521.118539
905	4520.992396
906	4507.855484
907	4497.537006
908	4490.381138
909	4488.830085
910	4486.366532
911	4484.482432
912	4479.435043
913	4479.223043
914	4471.103619
915	4470.965085
916	4461.483579
917	4455.380022
918	4435.875137
919	4432.659808
920	4428.140278
921	4427.763711
922	4418.030694
923	4413.704663
924	4413.144376
925	4406.940348
926	4401.618923
927	4400.956428
928	4399.791846
929	4387.945753
930	4382.68652
931	4363.791039
932	4363.446128
933	4358.910749
934	4353.429865
935	4350.005955
936	4341.222186
937	4340.627673
938	4333.886342
939	4332.1163
940	4326.99473
941	4326.864345
942	4322.843439
943	4322.616012
944	4317.700795
945	4315.763308
946	4315.58639
947	4312.592833
948	4310.250165
949	4294.751483
950	4293.883895
951	4292.084042
952	4288.067543
953	4286.788575
954	4286.302055
955	4280.347083
956	4266.159462
957	4258.600845
958	4252.044484
959	4249.183197
960	4237.770252
961	4227.254198
962	4202.072394
963	4201.503457
964	4193.427886
965	4187.099153
966	4186.37397
967	4175.683615
968	4172.345848
969	4163.558728
970	4152.223913
971	4149.34723
972	4143.575692
973	4138.110648
974	4126.211174
975	4120.529017
976	4118.13757
977	4111.376381
978	4109.4184
979	4109.236551
980	4106.988113
981	4106.572523
982	4103.040565
983	4097.540856
984	4097.145763
985	4095.316958
986	4089.064068
987	4085.447253
988	4083.496508
989	4066.795827
990	4059.85379
991	4051.221132
992	4047.948301
993	4043.910992
994	4042.77109
995	4040.70409
996	4040.373277
997	4039.931539
998	4030.239328
999	4028.33598
1000	4023.983845
1001	4011.603455
1002	4006.663865
1003	3995.45234
1004	3991.04196
1005	3989.278744
1006	3972.92422
1007	3972.348179
1008	3970.759522
1009	3963.118233
1010	3956.402998
1011	3942.143358
1012	3941.763523
1013	3939.720016
1014	3939.378113
1015	3939.218388
1016	3933.696801
1017	3922.987974
1018	3922.335037
1019	3919.628175
1020	3899.551864
1021	3899.283714
1022	3892.437743
1023	3890.256977
1024	3887.99388
1025	3878.478078
1026	3870.155134
1027	3869.458576
1028	3862.942975
1029	3855.872914
1030	3855.518894
1031	3854.537913
1032	3849.120583
1033	3848.178893
1034	3847.826454
1035	3843.822661
1036	3839.408232
1037	3832.637655
1038	3829.693137
1039	3816.596692
1040	3816.047519
1041	3807.110847
1042	3806.924868
1043	3806.637797
1044	3804.934405
1045	3804.474218
1046	3804.434679
1047	3801.484852
1048	3800.867405
1049	3798.305571
1050	3798.112949
1051	3797.867289
1052	3792.359612
1053	3786.06554
1054	3785.00239
1055	3784.143342
1056	3783.413037
1057	3770.198686
1058	3769.344296
1059	3768.88408
1060	3757.0019
1061	3756.710376
1062	3756.260076
1063	3750.902717
1064	3737.717788
1065	3737.448194
1066	3725.9114
1067	3725.639343
1068	3719.322844
1069	3718.192238
1070	3709.098265
1071	3703.004828
1072	3694.352712
1073	3688.460648
1074	3679.667324
1075	3676.532404
1076	3676.243362
1077	3676.161504
1078	3672.555028
1079	3670.065746
1080	3666.206447
1081	3649.28527
1082	3648.501407
1083	3635.528161
1084	3634.937515
1085	3632.852794
1086	3632.499518
1087	3627.631419
1088	3623.860761
1089	3618.169025
1090	3618.101686
1091	3613.781761
1092	3599.417072
1093	3587.081055
1094	3584.126521
1095	3581.735735
1096	3579.202587
1097	3578.699758
1098	3574.670174
1099	3565.681398
1100	3565.402412
1101	3564.87915
1102	3561.439556
1103	3558.491418
1104	3558.202426
1105	3545.012777
1106	3543.57763
1107	3542.909878
1108	3542.896897
1109	3542.487367
1110	3541.627587
1111	3541.189367
1112	3541.066843
1113	3532.056466
1114	3523.550878
1115	3520.841518
1116	3519.484285
1117	3506.785078
1118	3493.066108
1119	3492.292199
1120	3488.629316
1121	3487.671486
1122	3486.900259
1123	3480.935707
1124	3480.6613
1125	3477.260905
1126	3473.348167
1127	3473.033143
1128	3472.226832
1129	3469.405585
